Prolific ID,Base Payoff,Bonus Payoff,Total Payoff,Final Bonus Score,Final Choice 1 Sum
Unknown,6.0,0.0,6.0,-1420,-300
Unknown,6.0,0.0,6.0,-1500,80
Unknown,6.0,0.0,6.0,-1020,220
Unknown,6.0,0.0,6.0,-720,520
Unknown,6.0,0.0,6.0,-1340,-240
Unknown,6.0,0.0,6.0,-1240,120
Unknown,6.0,0.0,6.0,-1460,-340
Unknown,6.0,0.0,6.0,-1640,-160
Unknown,6.0,0.0,6.0,-420,0
Unknown,6.0,0.0,6.0,-260,300
Unknown,6.0,0.83,6.83,620,540
Unknown,6.0,0.0,6.0,0,-520
Unknown,6.0,0.48,6.48,360,280
Unknown,6.0,0.05,6.05,40,-100
Unknown,6.0,0.0,6.0,-600,-900
Unknown,6.0,0.59,6.59,440,380
No ID provided,6.0,0.0,6.0,-1560,40
No ID provided,6.0,0.0,6.0,-1380,-700
No ID provided,6.0,0.0,6.0,-1780,-440
No ID provided,6.0,0.0,6.0,-1380,-380
No ID provided,6.0,0.0,6.0,-1240,0
No ID provided,6.0,0.0,6.0,-1200,80
No ID provided,6.0,0.0,6.0,-1500,40
No ID provided,6.0,0.0,6.0,-1620,-280
No ID provided,6.0,0.0,6.0,-1220,120
No ID provided,6.0,0.0,6.0,-1020,300
No ID provided,6.0,0.0,6.0,-1080,140
No ID provided,6.0,0.0,6.0,-1260,-300
No ID provided,6.0,0.0,6.0,-1680,-600
No ID provided,6.0,0.0,6.0,-900,320
No ID provided,6.0,0.0,6.0,-1060,100
No ID provided,6.0,0.0,6.0,-1400,-500
No ID provided,6.0,0.0,6.0,-1020,420
No ID provided,6.0,0.0,6.0,-1940,-1080
No ID provided,6.0,0.0,6.0,-980,260
No ID provided,6.0,0.0,6.0,-1560,-60
No ID provided,6.0,0.0,6.0,-1000,120
No ID provided,6.0,0.0,6.0,-1620,-280
No ID provided,6.0,0.0,6.0,-1400,-120
No ID provided,6.0,0.0,6.0,-1440,-280
No ID provided,6.0,0.0,6.0,-1500,60
No ID provided,6.0,0.0,6.0,-1120,-380
No ID provided,6.0,0.0,6.0,-160,320
No ID provided,6.0,0.37,6.37,280,300
No ID provided,6.0,0.0,6.0,-1120,380
No ID provided,6.0,0.0,6.0,-1240,-280
No ID provided,6.0,0.0,6.0,-1220,-40
No ID provided,6.0,0.0,6.0,-1080,280
No ID provided,6.0,0.0,6.0,-1740,-400
No ID provided,6.0,0.24,6.24,180,-180
No ID provided,6.0,0.48,6.48,360,320
No ID provided,6.0,0.0,6.0,-580,-400
No ID provided,6.0,0.0,6.0,-1160,-100
Unknown,6.0,0.0,6.0,-1140,500
Unknown,6.0,0.0,6.0,-1180,260
Unknown,6.0,0.0,6.0,-1360,-800
Unknown,6.0,0.0,6.0,-2380,-2400
Unknown,6.0,0.0,6.0,-2560,-2580
Unknown,6.0,0.0,6.0,-1240,200
Unknown,6.0,0.0,6.0,-1320,-240
Unknown,6.0,0.0,6.0,-1200,-200
Unknown,6.0,0.0,6.0,-1220,100
Unknown,6.0,0.0,6.0,-900,20
Unknown,6.0,0.0,6.0,-1800,-460
Unknown,6.0,0.0,6.0,-1300,-300
Unknown,6.0,0.0,6.0,-1100,320
Unknown,6.0,0.0,6.0,-1860,-300
Unknown,6.0,0.0,6.0,-1080,20
Unknown,6.0,0.0,6.0,-820,280
Unknown,6.0,0.0,6.0,-860,560
Unknown,6.0,0.0,6.0,-2480,-2520
Unknown,6.0,0.0,6.0,-1120,80
Unknown,6.0,0.0,6.0,-1060,200
Unknown,6.0,0.0,6.0,-2300,-2380
Unknown,6.0,0.0,6.0,-1020,80
Unknown,6.0,0.0,6.0,-680,500
Unknown,6.0,0.0,6.0,-1120,340
Unknown,6.0,0.0,6.0,-1560,-440
Unknown,6.0,0.0,6.0,-1160,360
Unknown,6.0,0.0,6.0,-1220,-60
Unknown,6.0,0.0,6.0,-1340,260
Unknown,6.0,0.0,6.0,-1040,-60
Unknown,6.0,0.0,6.0,-1680,-300
Unknown,6.0,0.0,6.0,-1240,360
Unknown,6.0,0.0,6.0,-660,40
Unknown,6.0,0.0,6.0,-240,420
Unknown,6.0,0.0,6.0,-1360,-300
Unknown,6.0,0.0,6.0,-1260,320
Unknown,6.0,0.0,6.0,-1020,-120
Unknown,6.0,0.0,6.0,-1340,-40
Unknown,6.0,0.0,6.0,-1000,300
Unknown,6.0,0.0,6.0,-1120,280
Unknown,6.0,0.0,6.0,-1180,-240
Unknown,6.0,0.0,6.0,-1360,580
